date,description,amount
2025-12-15,Mcdonald's,-8.3
2025-12-18,Mcdonald's,-7.5
2025-12-19,Mcdonald's,-7.5
2025-12-19,Previous balance,-63.32
2025-12-23,Mcdonald's,-9.3
2025-12-24,Mcdonald's,-7.5
2025-12-26,Mcdonald's,-6.1
2025-12-27,Bus / MRT,-3.32
2025-12-31,Credit Payment from Trust savings,63.32
2025-12-31,iTunes,-12.96
2026-01-06,WEIXIN*Shanghai Gold ShenZhen CN 29.50 CNY 1 CNY = 0.1847 SGD,-5.45
2026-01-06,WEIXIN*Shenzhen Fengch 95017 CN 30.00 CNY 1 CNY = 0.1847 SGD,-5.54
2026-01-07,Grab,-20.0
2026-01-07,Trip.com 955.00 TWD,-38.99
2026-01-07,WEIXIN*Mobile recharge Beijing CN 100.00 CNY 1 CNY = 0.184 SGD,-18.4
2026-01-09,WEIXIN*Shenzhen Fengch Shenzhen 51801 CN 15.00 CNY 1 CNY = 0.1833 SGD,2.75
2026-01-10,WEIXIN*Shanghai Golden 5210747029 CN 26.50 CNY 1 CNY = 0.1845 SGD,-4.89
2026-01-14,Bus / MRT,-2.4
2026-01-15,7-Eleven,-8.3
